,star_ra_deg,star_dec_deg,star_distance_pc,star_radius_solar,star_teff_k,planet_orbit_semi_major_axis_au,planet_orbit_eccentricity,planet_orbit_inclination_deg,planet_radius_earth,planet_equilibrium_temp_k,planet_orbital_period_days,star_luminosity_solar,ra_rad,dec_rad,star_cartesian_x,star_cartesian_y,star_cartesian_z,star_habitable_zone_inner_au,star_habitable_zone_outer_au
56,318.4010002,14.6893834,49.352,0.86,4864.0,0.78,0.29,,13.8,,268.94,-0.32,5.557145795133124,0.2563781054177992,35.699624896860016,-31.69449572562997,12.514616531141327,,
57,176.4820239,14.6163182,768.045,8.95,4649.0,0.576,0.001,,13.8,,153.22,1.57,3.080192387638324,0.25510287710917107,-741.7885525085084,45.603336894125384,193.812283038132,1.1946852000726917,1.7211229331292395
58,240.09564,15.5467507,426.42,14.7,4796.0,0.539,0.26,,13.7,,137.48,2.01,4.190459437682998,0.2713419877017332,-204.81492535010807,-356.12135865385034,114.29103492560301,1.3517665209912275,1.9474220986187556
59,154.186782,19.8912626,1539.71,49.0,4137.0,1.45,0.15,,12.1,,379.63,3.17,2.6910670089547275,0.34716802474880787,-1303.381967498753,630.4504586697454,523.8650112979369,1.6975918772832832,2.445635311217046
60,154.186782,19.8912626,1539.71,49.0,4137.0,2.01,0.18,,12.4,,621.99,3.17,2.6910670089547275,0.34716802474880787,-1303.381967498753,630.4504586697454,523.8650112979369,1.6975918772832832,2.445635311217046
61,25.9203179,21.0052692,1322.51,17.3,4296.0,1.3,0.21,,13.0,,578.2,1.96,0.4523948905186223,0.3666111078077553,1110.4259863345524,539.6805896792437,474.05874118762983,1.3348476249438292,1.9230478952816463
62,53.6511231,20.5990205,179.461,1.08,5766.0,0.241,0.0,89.55,2.578,546.0,41.6855,-0.056,0.9363887454877869,0.3595207304108086,99.56612794341711,135.3007967756295,63.138982247379566,,
63,32.9470485,45.9242187,53.622,0.81,5004.0,0.83,0.12,2.579,13.6,,307.88,-0.399,0.575034475139259,0.8015288227209499,31.301136384467785,20.286092741639276,38.52313832385099,,
64,40.7102869,49.5869395,871.493,11.0,4414.0,1.0,0.2,,13.9,,392.6,1.69,0.7105285458365155,0.8654553602622307,428.26702919159254,368.50155711631595,663.5465342832092,1.23950136601927,1.7856873313329573
65,40.7425426,48.9300579,666.589,10.33,4534.0,1.7,0.76,,13.5,,733.0,1.64,0.711091514004051,0.8539906135464623,331.8018253426041,285.82350270139506,502.54688231429884,1.2210278829367864,1.7590735125745909
66,45.6406187,49.7299481,442.042,7.6,4943.0,4.2,0.35,,13.5,,2590.0,1.47,0.796579068962294,0.8679513311908983,199.77142365755648,204.28937758743163,337.28082996039495,1.1560119533826785,1.6654083300081026
67,23.9636676,56.6982282,52.5697,0.9,5012.0,0.78,0.27,0.601,14.0,,265.59,-0.313,0.4182449004734875,0.989570762137098,26.37539724661704,11.723048521156123,43.9372497039103,,
