,pl_name,hostname,ra,dec,sy_dist,st_rad,st_teff,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_rade,pl_eqt,pl_orbper,st_lum,sy_snum,disc_year,ra_rad,dec_rad,X,Y,Z,habitable_zone_inner,habitable_zone_outer,habitable_zone_center_au,habitable_zone_width_au,hz_score,size_score,temp_score,eccentricity_score,habitability_score,snr,habitable
30,51 Eri b,51 Eri,69.4007424,-2.4738245,29.7575,1.49,7295.0,13.2,0.45,133.0,13.4,700.0,11688.0,0.85,3,2015,1.2112714582084314,-0.04317638264150246,10.45980976044312,27.828967749874597,-1.2844220497090255,0.8790490729915325,1.266401826003761,1.0727254494976468,0.1936763765061143,0.0,4.0873349728658875e-34,1.8048513878454153e-35,0.55,0.0,25.836958438558472,True
31,51 Peg b,51 Peg,344.3675399,20.7690958,15.4614,1.18,5758.0,0.0527,0.013,80.0,14.3,,4.230785,0.136,1,1995,6.010347408247944,0.36248910437212567,13.921921575144374,-3.8955738125097237,5.482653945564871,0.35161962919661305,0.5065607304015044,0.4290901797990587,0.07747055060244568,0.0,3.879935876284341e-39,,0.987,,4288616.649871266,True
32,55 Cnc b,55 Cnc,133.1468373,28.3298154,12.5855,0.94,5172.0,0.1134,0.0,89.73,13.9,700.0,14.6516,-0.197,2,1996,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,,,,,7.320278991059906e-37,1.8048513878454153e-35,1.0,,838143.2477738688,True
33,55 Cnc c,55 Cnc,133.1468373,28.3298154,12.5855,0.94,5172.0,0.2373,0.03,89.73,8.51,,44.3989,-0.197,2,2004,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,,,,,5.660748962113485e-13,,0.97,,71742.81329871186,True
34,55 Cnc d,55 Cnc,133.1468373,28.3298154,12.5855,0.94,5172.0,5.957,0.13,89.73,13.0,,5574.2,-0.197,2,2002,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,,,,,5.380186160021138e-32,,0.87,,265.67229269013126,True
35,55 Cnc e,55 Cnc,133.1468373,28.3298154,12.5855,0.94,5172.0,0.01544,0.05,83.59,1.875,1958.0,0.7365474,-0.197,2,2004,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,,,,,0.6819407511903481,0.0,0.95,,822664.4138350162,True
36,55 Cnc f,55 Cnc,133.1468373,28.3298154,12.5855,0.94,5172.0,0.7708,0.08,89.73,7.59,,259.88,-0.197,2,2007,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,,,,,3.712854285229417e-10,,0.92,,5408.974064432684,True
37,6 Lyn b,6 Lyn,97.6960311,58.1611753,54.6599,4.94,4941.0,2.028,0.042,,13.4,,919.86,1.119,1,2008,1.7051174088257774,1.0151040058146006,-3.86148858152001,28.575093000655855,46.435521252040004,1.0085993888917082,1.453038456035139,1.2308189224634236,0.22221953357171542,0.0,4.0873349728658875e-34,,0.958,,3566.070523321644,True
38,61 Vir b,61 Vir,199.596455,-18.3157745,8.50332,0.96,5577.0,0.050201,0.12,,2.11,,4.215,-0.095,1,2009,3.4836153150586986,-0.31967057007781813,-7.604957648066071,-2.707473424507093,-2.6722009372629936,,,,,,0.5400735202932528,,0.88,,225167.44204786816,True
39,61 Vir c,61 Vir,199.596455,-18.3157745,8.50332,0.96,5577.0,0.2175,0.14,,4.46,,38.021,-0.095,1,2009,3.4836153150586986,-0.31967057007781813,-7.604957648066071,-2.707473424507093,-2.6722009372629936,,,,,,0.002514201552477604,,0.86,,53594.054690997255,True
40,61 Vir d,61 Vir,199.596455,-18.3157745,8.50332,0.96,5577.0,0.476,0.35,,5.11,,123.01,-0.095,1,2009,3.4836153150586986,-0.31967057007781813,-7.604957648066071,-2.707473424507093,-2.6722009372629936,,,,,,0.00021474699289825936,,0.65,,14689.036672503935,True
41,7 CMa b,7 CMa,99.171276,-19.2561808,19.8101,4.87,4826.0,1.758,0.06,90.0,13.4,,735.1,1.063,1,2011,1.7308652896040322,-0.3360837563193157,-2.980809406980462,18.462715011846296,-6.533222151481009,0.9830379628293284,1.4162133940047632,1.1996256784170458,0.2165877155877174,0.0,4.0873349728658875e-34,,0.94,,35112.07067625321,True
42,7 CMa c,7 CMa,99.171276,-19.2561808,19.8101,4.87,4826.0,2.153,0.08,90.0,13.9,,996.0,1.063,1,2019,1.7308652896040322,-0.3360837563193157,-2.980809406980462,18.462715011846296,-6.533222151481009,0.9830379628293284,1.4162133940047632,1.1996256784170458,0.2165877155877174,0.0,7.320278991059906e-37,,0.92,,25189.881683371077,True
43,70 Vir b,70 Vir,202.1064898,13.7763085,17.9011,1.89,5495.0,0.481,0.3988,,12.6,,116.688,0.451,1,1996,3.5274236866583357,0.24044194209548125,-16.108011781575826,-6.542910775326759,4.26282256735223,0.6403124237432849,0.9224659322849896,0.7813891780141373,0.14107675427085237,0.0,6.0348608059710055e-30,,0.6012,,76491.84010579887,True
44,75 Cet b,75 Cet,38.0391598,-1.0350269,82.9613,10.38,4809.0,1.912,0.093,,13.3,,696.62,1.714,2,2012,0.6639085832022678,-0.0180646272517101,65.32881158158217,51.112404782648625,-1.4985834520685377,1.2482715322323978,1.7983220690829949,1.5232968006576963,0.2750252684252985,0.0,1.4053804777628923e-33,,0.907,,7574.799039954076,True
45,75 Cet c,75 Cet,38.0391598,-1.0350269,82.9613,10.38,4809.0,3.929,0.023,,13.9,,2051.62,1.714,2,2023,0.6639085832022678,-0.0180646272517101,65.32881158158217,51.112404782648625,-1.4985834520685377,1.2482715322323978,1.7983220690829949,1.5232968006576963,0.2750252684252985,0.0,7.320278991059906e-37,,0.977,,1959.337056578762,True
46,8 UMi b,8 UMi,224.201685,74.9009379,162.552,10.3,4847.0,0.49,0.06,,13.6,,93.4,1.725,1,2015,3.9130575917691828,1.3072679791868074,-30.355248928914033,-29.52092669769689,156.94020024637686,1.2522706649050828,1.8040834185624774,1.52817704173378,0.27590637682869734,0.0,3.355088856231146e-35,,0.94,,30929.68318086215,True
47,81 Cet b,81 Cet,39.4243555,-3.3963607,101.26,11.21,4734.0,2.104,0.037,,13.1,,1005.57,1.76,1,2008,0.6880848089517353,-0.05927767680033937,78.08228767322355,64.19311984894247,-5.998942888148896,1.2649110640673518,1.8222938064376808,1.5436024352525162,0.2786913711851645,0.0,1.6123987480502325e-32,,0.963,,4751.016070461211,True
48,91 Aqr b,91 Aqr,348.9745031,-9.0878076,44.0304,11.0,4665.0,0.7,0.027,,13.1,,181.4,1.692,3,2013,6.090754084606158,-0.15861216440776382,42.67520189368185,-8.314928852751402,-6.954511173847864,1.2402345819165896,1.7867436386310933,1.5134891102738415,0.27325452835725184,0.0,1.6123987480502325e-32,,0.973,,218588.15269449682,True
49,AB Aur b,AB Aur,73.9410446,30.5510888,162.127,2.96,9770.0,93.9,0.4,42.6,12.5,,,1.771,1,2022,1.2905146806339736,0.5332170896291634,38.622545070507314,134.17161458083845,82.41019950253472,1.268857754044952,1.8279796043616745,1.5484186792033132,0.2795609251583613,0.0,1.915478951967148e-29,,0.6,,0.059069265472508334,False
50,AB Pic b,AB Pic,94.8039208,-58.0541184,50.0475,1.0,5285.0,260.0,,,12.3,,,-0.226,1,2005,1.6546405617599367,-1.0132355104226225,-2.217681536718899,26.388009147363427,-42.46771854115029,,,,,,1.8727025544562063e-28,,,,0.008935086278073458,False
51,AF Lep b,AF Lep,81.7699216,-11.9011752,26.8564,1.25,6130.0,8.4,0.24,50.0,13.1,1400.0,8030.0,0.29,1,2023,1.4271543610176298,-0.20771469209669466,3.7618162777044613,26.00847226267716,-5.538441099655257,0.5134553180524705,0.7397092748646287,0.6265822964585496,0.1131269784060791,0.0,1.6123987480502325e-32,1.785823150070186e-263,0.76,0.0,52.687604317292866,True
52,AU Mic b,AU Mic,311.2911369,-31.34245,9.7221,0.82,3665.0,0.0645,0.186,89.5,3.957,600.0,8.4629991,-0.99,1,2020,5.433055271181415,-0.5470289481416968,5.479286089324932,-6.238886611451774,-5.05697006227821,,,,,,0.01262691666871165,2.8625185805493937e-20,0.8140000000000001,,267744.28422675596,True
53,AU Mic c,AU Mic,311.2911369,-31.34245,9.7221,0.82,3665.0,0.1101,0.00338,89.227,3.24,459.0,18.858991,-0.99,1,2021,5.433055271181415,-0.5470289481416968,5.479286089324932,-6.238886611451774,-5.05697006227821,,,,,,0.08136581966452526,3.2381771322159576e-06,0.99662,,61605.986953623935,True
54,AU Mic d,AU Mic,311.2911369,-31.34245,9.7221,0.74,3678.0,,0.00305,89.318,1.02,,12.73596,-1.038,1,2023,5.433055271181415,-0.5470289481416968,5.479286089324932,-6.238886611451774,-5.05697006227821,,,,,,0.9998000199986667,,0.99695,,,False
55,BD+03 2562 b,BD+03 2562,177.5647268,2.7601075,1070.63,32.35,4095.0,1.3,0.2,,12.7,,481.9,2.7,1,2017,3.0990891180642146,0.04817296358398939,-1068.4221635128984,45.439085347161104,51.55547436724249,1.5666989036012806,2.2570643815898364,1.9118816425955585,0.34518273899427787,0.0,1.8824098475949752e-30,,0.8,,871.3456957890191,True
56,BD+14 4559 b,BD+14 4559,318.4010002,14.6893834,49.352,0.86,4864.0,0.78,0.29,,13.8,,268.94,-0.32,1,2009,5.557145795133124,0.2563781054177992,35.699624896860016,-31.69449572562997,12.514616531141327,,,,,,2.6460377906875848e-36,,0.71,,950.5092671228346,True
57,BD+15 2375 b,BD+15 2375,176.4820239,14.6163182,768.045,8.95,4649.0,0.576,0.001,,13.8,,153.22,1.57,1,2016,3.080192387638324,0.25510287710917107,-741.7885525085084,45.603336894125384,193.812283038132,1.1946852000726917,1.7211229331292395,1.4579040666009657,0.26321886652827386,0.0,2.6460377906875848e-36,,0.999,,779.4458411212273,True
58,BD+15 2940 b,BD+15 2940,240.09564,15.5467507,426.42,14.7,4796.0,0.539,0.26,,13.7,,137.48,2.01,1,2013,4.190459437682998,0.2713419877017332,-204.81492535010807,-356.12135865385034,114.29103492560301,1.3517665209912275,1.9474220986187556,1.6495943098049914,0.29782778881376404,0.0,9.469379172715915e-36,,0.74,,7677.558632610443,True
59,BD+20 2457 b,BD+20 2457,154.186782,19.8912626,1539.71,49.0,4137.0,1.45,0.15,,12.1,,379.63,3.17,1,2009,2.6910670089547275,0.34716802474880787,-1303.381967498753,630.4504586697454,523.8650112979369,1.6975918772832832,2.445635311217046,2.071613594250165,0.37402171696688147,0.0,1.7590915496847662e-27,,0.85,,705.2596469570044,True
